,CSV Name,Prediction Value,AlphaRank
93,ranked_769.csv,0.032780058681964874,769
613,ranked_657.csv,0.032136209309101105,657
854,ranked_654.csv,0.03186643868684769,654
24,ranked_698.csv,0.02949576824903488,698
675,ranked_845.csv,0.028020543977618217,845
760,ranked_914.csv,0.027289390563964844,914
66,ranked_761.csv,0.027148354798555374,761
828,ranked_621.csv,0.02637413516640663,621
206,ranked_948.csv,0.026360750198364258,948
81,ranked_906.csv,0.026237640529870987,906
31,ranked_966.csv,0.02591889351606369,966
995,ranked_662.csv,0.02554071694612503,662
403,ranked_918.csv,0.024921689182519913,918
67,ranked_950.csv,0.024264374747872353,950
445,ranked_941.csv,0.024097952991724014,941
664,ranked_986.csv,0.02406024932861328,986
710,ranked_661.csv,0.024056322872638702,661
179,ranked_695.csv,0.02392968162894249,695
733,ranked_659.csv,0.023595815524458885,659
669,ranked_708.csv,0.023575127124786377,708
811,ranked_900.csv,0.02353551983833313,900
193,ranked_652.csv,0.023431502282619476,652
151,ranked_692.csv,0.022524474188685417,692
994,ranked_612.csv,0.02246924862265587,612
34,ranked_993.csv,0.022416576743125916,993
830,ranked_920.csv,0.02240394800901413,920
801,ranked_683.csv,0.022333091124892235,683
492,ranked_626.csv,0.02215677499771118,626
780,ranked_963.csv,0.0218586977571249,963
772,ranked_625.csv,0.021590501070022583,625
517,ranked_955.csv,0.021576473489403725,955
252,ranked_622.csv,0.02131277322769165,622
373,ranked_994.csv,0.02130994200706482,994
775,ranked_813.csv,0.021178752183914185,813
709,ranked_611.csv,0.021164963021874428,611
102,ranked_637.csv,0.021004656329751015,637
743,ranked_615.csv,0.02097308821976185,615
542,ranked_645.csv,0.020709991455078125,645
532,ranked_946.csv,0.020538756623864174,946
736,ranked_962.csv,0.020502552390098572,962
472,ranked_609.csv,0.020495731383562088,609
551,ranked_992.csv,0.02047044411301613,992
619,ranked_644.csv,0.020422864705324173,644
676,ranked_869.csv,0.020366478711366653,869
68,ranked_998.csv,0.020251993089914322,998
644,ranked_934.csv,0.020245827734470367,934
904,ranked_719.csv,0.019986432045698166,719
44,ranked_756.csv,0.019885055720806122,756
970,ranked_715.csv,0.01986662857234478,715
656,ranked_991.csv,0.019830167293548584,991
316,ranked_822.csv,0.01971741020679474,822
846,ranked_647.csv,0.019658520817756653,647
714,ranked_883.csv,0.019449777901172638,883
833,ranked_893.csv,0.019243258982896805,893
537,ranked_830.csv,0.019204244017601013,830
234,ranked_838.csv,0.019169747829437256,838
798,ranked_832.csv,0.01901564747095108,832
175,ranked_798.csv,0.018970264121890068,798
516,ranked_921.csv,0.01880088821053505,921
680,ranked_980.csv,0.018495798110961914,980
95,ranked_788.csv,0.018389983102679253,788
694,ranked_793.csv,0.018339253962039948,793
8,ranked_995.csv,0.018140390515327454,995
15,ranked_859.csv,0.01811946928501129,859
821,ranked_874.csv,0.018036292865872383,874
262,ranked_888.csv,0.017920490354299545,888
465,ranked_840.csv,0.01786040887236595,840
893,ranked_999.csv,0.017830997705459595,999
789,ranked_681.csv,0.017759043723344803,681
860,ranked_958.csv,0.01772560179233551,958
525,ranked_852.csv,0.017703639343380928,852
902,ranked_922.csv,0.0175932627171278,922
21,ranked_959.csv,0.017530055716633797,959
609,ranked_901.csv,0.01743343286216259,901
212,ranked_902.csv,0.017425615340471268,902
671,ranked_849.csv,0.017379527911543846,849
3,ranked_653.csv,0.01737886667251587,653
353,ranked_935.csv,0.017171058803796768,935
524,ranked_960.csv,0.01716563105583191,960
11,ranked_671.csv,0.017150335013866425,671
486,ranked_983.csv,0.017145313322544098,983
778,ranked_877.csv,0.017070721834897995,877
817,ranked_851.csv,0.017056886106729507,851
273,ranked_961.csv,0.0168264452368021,961
612,ranked_978.csv,0.016652528196573257,978
127,ranked_973.csv,0.01658633165061474,973
297,ranked_607.csv,0.016575288027524948,607
905,ranked_745.csv,0.016558289527893066,745
356,ranked_996.csv,0.016553936526179314,996
130,ranked_967.csv,0.01647915691137314,967
813,ranked_976.csv,0.01640661619603634,976
572,ranked_674.csv,0.016353419050574303,674
697,ranked_620.csv,0.016348138451576233,620
686,ranked_949.csv,0.01631968468427658,949
812,ranked_954.csv,0.01631809026002884,954
414,ranked_904.csv,0.016302965581417084,904
863,ranked_706.csv,0.016076110303401947,706
473,ranked_930.csv,0.016030024737119675,930
204,ranked_923.csv,0.015933115035295486,923
187,ranked_634.csv,0.01590704917907715,634
715,ranked_842.csv,0.01588865928351879,842
347,ranked_969.csv,0.015879396349191666,969
977,ranked_936.csv,0.015870334580540657,936
665,ranked_679.csv,0.015856128185987473,679
2,ranked_704.csv,0.01584332436323166,704
148,ranked_616.csv,0.015808282420039177,616
